millis,ts,type,dpIn,dpOut,o2,millis_diff
40544.0,19:27:16.212 , Vol+O2,0.0,0.0,20.63,37.0
40581.0,19:27:16.212 , Vol+O2,0.0,0.0,20.63,37.0
40618.0,19:27:16.226 , Vol+O2,0.0,0.0,20.63,37.0
40655.0,19:27:16.226 , Vol+O2,0.0,0.2,20.63,37.0
40692.0,19:27:16.230 , Vol+O2,0.0,0.0,20.6,37.0
40729.0,19:27:16.230 , Vol+O2,0.0,0.0,20.6,37.0
40766.0,19:27:16.230 , Vol+O2,0.0,0.0,20.6,37.0
40803.0,19:27:16.230 , Vol+O2,0.0,0.0,20.6,37.0
40840.0,19:27:16.232 , Vol+O2,0.0,0.0,20.6,37.0
40877.0,19:27:16.232 , Vol+O2,0.0,0.0,20.6,37.0
40914.0,19:27:16.233 , Vol+O2,0.0,0.0,20.6,37.0
40951.0,19:27:16.235 , Vol+O2,0.0,0.0,20.6,37.0
40988.0,19:27:16.235 , Vol+O2,0.0,0.28,20.57,37.0
41025.0,19:27:16.235 , Vol+O2,0.0,0.0,20.57,37.0
41062.0,19:27:16.242 , Vol+O2,0.0,0.0,20.57,37.0
41099.0,19:27:16.242 , Vol+O2,0.0,0.0,20.57,37.0
41135.0,19:27:16.244 , Vol+O2,0.0,0.0,20.57,36.0
41172.0,19:27:16.244 , Vol+O2,0.0,0.0,20.57,37.0
41209.0,19:27:16.247 , Vol+O2,0.0,0.0,20.57,37.0
41246.0,19:27:16.247 , Vol+O2,0.0,0.0,20.57,37.0
